Gammal kod	Gammalt namn	Ny kod	Nytt namn	Hel/Del	Datum ikraftträdande	Ändringstyp	Ändring
0102	Väddö	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0103	Häverö	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0104	Knutby	0188	Norrtälje	Del	1971-01-01	10	Upphör; till befintlig
0104	Knutby	0380	Uppsala	Del	1971-01-01	10	Upphör; till befintlig
0105	Almunge	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0106	Rimbo	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0107	Lyhundra	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0108	Frötuna	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0109	Blidö	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0110	Roslags-Länna	0188	Norrtälje	Hel	1971-01-01	10	Upphör; till befintlig
0111	Knivsta	0380	Uppsala	Hel	1971-01-01	10	Upphör; till befintlig
0113	Märsta	0191	Sigtuna	Hel	1971-01-01	10	Upphör; till befintlig
0114	Upplands-Väsby	0114	Upplands Väsby	Hel	2002-09-19	40	Namnändrad (ej kodändrad)
0115	Vallentuna	0115	Vallentuna	Hel	1971-01-01	15	Utvidgas
0115	Vallentuna	0191	Sigtuna	Del	2013-01-01	14	Ger del/delar till befintlig
0116	Össeby	0115	Vallentuna	Hel	1971-01-01	10	Upphör; till befintlig
0117	Österåker	0187	Vaxholm	Hel	1974-01-01	10	Upphör; till befintlig
0119	Djurö	0120	Värmdö	Hel	1974-01-01	10	Upphör; till befintlig
0120	Värmdö	0120	Värmdö	Hel	1974-01-01	15	Utvidgas
0121	Gustavsberg	0120	Värmdö	Hel	1974-01-01	10	Upphör; till befintlig
0122	Boo	0182	Nacka	Hel	1971-01-01	10	Upphör; till befintlig
0124	Färingsö	0125	Ekerö	Hel	1971-01-01	10	Upphör; till befintlig
0125	Ekerö	0125	Ekerö	Hel	1971-01-01	15	Utvidgas
0127	Botkyrka	0127	Botkyrka	Hel	1971-01-01	15	Utvidgas
0127	Botkyrka	0127	Botkyrka	Hel	1974-01-01	15	Utvidgas
0127	Botkyrka	0128	Salem	Del	1983-01-01	12	Ger del till nybildad
0128	Salem	0127	Botkyrka	Hel	1974-01-01	10	Upphör; till befintlig
0129	Grödinge	0127	Botkyrka	Hel	1971-01-01	10	Upphör; till befintlig
0131	Turinge	0181	Södertälje	Hel	1971-01-01	10	Upphör; till befintlig
0132	Järna	0181	Södertälje	Hel	1971-01-01	10	Upphör; till befintlig
0133	Sorunda	0192	Nynäshamn	Hel	1974-01-01	10	Upphör; till befintlig
0134	Ösmo	0192	Nynäshamn	Hel	1974-01-01	10	Upphör; till befintlig
0135	Västerhaninge	0136	Haninge	Hel	1971-01-01	10	Upphör; till befintlig
0136	Österhaninge	0136	Haninge	Hel	1971-01-01	16	Utvidgas och namnändras
0162	Danderyd	0162	Danderyd	Hel	1971-01-01	15	Utvidgas
0164	Saltsjöbaden	0182	Nacka	Hel	1971-01-01	10	Upphör; till befintlig
0181	Södertälje	0181	Södertälje	Hel	1971-01-01	15	Utvidgas
0181	Södertälje	0140	Nykvarn	Del	1999-01-01	12	Ger del till nybildad
0182	Nacka	0182	Nacka	Hel	1971-01-01	15	Utvidgas
0185	Djursholm	0162	Danderyd	Hel	1971-01-01	10	Upphör; till befintlig
0186	Lidingö	0186	Lidingö	Hel	2011-01-01	15	Utvidgas
0187	Vaxholm	0187	Vaxholm	Hel	1974-01-01	15	Utvidgas
0187	Vaxholm	0117	Österåker	Del	1983-01-01	12	Ger del till nybildad
0187	Vaxholm	0186	Lidingö	Del	2011-01-01	14	Ger del/delar till befintlig
0188	Norrtälje	0188	Norrtälje	Hel	1971-01-01	15	Utvidgas
0189	Östhammar	0382	Östhammar	Hel	1971-01-01	20	Kodändrad; ny länstillhörighet
0191	Sigtuna	0191	Sigtuna	Hel	1971-01-01	15	Utvidgas
0191	Sigtuna	0191	Sigtuna	Hel	2013-01-01	15	Utvidgas
0192	Nynäshamn	0192	Nynäshamn	Hel	1974-01-01	15	Utvidgas
0201	Frösåker	0289	Östhammar	Hel	1957-01-01	10	Upphör; till befintlig
0202	Väddö	0102	Väddö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0203	Häverö	0103	Häverö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0204	Knutby	0104	Knutby	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0205	Almunge	0105	Almunge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0206	Sjuhundra	0206	Rimbo	Hel	1967-01-01	16	Utvidgas och namnändras
0206	Rimbo	0106	Rimbo	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0207	Lyhundra	0107	Lyhundra	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0208	Frötuna	0108	Frötuna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0209	Blidö	0109	Blidö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0210	Roslags-Länna	0110	Roslags-Länna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0211	Knivsta	0211	Knivsta	Hel	1967-01-01	15	Utvidgas
0211	Knivsta	0111	Knivsta	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0212	Skepptuna	0206	Rimbo	Del	1967-01-01	10	Upphör; till befintlig
0212	Skepptuna	0211	Knivsta	Del	1967-01-01	10	Upphör; till befintlig
0212	Skepptuna	0213	Märsta	Del	1967-01-01	10	Upphör; till befintlig
0213	Märsta	0213	Märsta	Hel	1967-01-01	15	Utvidgas
0213	Märsta	0113	Märsta	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0214	Upplands-Väsby	0114	Upplands-Väsby	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0215	Vallentuna	0115	Vallentuna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0216	Össeby	0116	Össeby	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0217	Österåker	0217	Österåker	Hel	1967-01-01	15	Utvidgas
0217	Österåker	0117	Österåker	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0218	Ljusterö	0217	Österåker	Hel	1967-01-01	10	Upphör; till befintlig
0219	Djurö	0119	Djurö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0220	Värmdö	0120	Värmdö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0221	Gustavsberg	0121	Gustavsberg	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0222	Boo	0122	Boo	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0223	Järfälla	0123	Järfälla	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0224	Färingsö	0124	Färingsö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0225	Ekerö	0125	Ekerö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0226	Huddinge	0126	Huddinge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0227	Botkyrka	0127	Botkyrka	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0228	Salem	0128	Salem	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0229	Grödinge	0129	Grödinge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0230	Östertälje	0281	Södertälje	Hel	1963-01-01	10	Upphör; till befintlig
0231	Turinge	0131	Turinge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0232	Järna	0132	Järna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0233	Sorunda	0133	Sorunda	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0234	Ösmo	0134	Ösmo	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0235	Västerhaninge	0135	Västerhaninge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0236	Österhaninge	0236	Österhaninge	Hel	1959-01-01	15	Utvidgas
0236	Österhaninge	0136	Österhaninge	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0237	Dalarö	0236	Österhaninge	Hel	1959-01-01	10	Upphör; till befintlig
0238	Tyresö	0138	Tyresö	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0260	Täby	0160	Täby	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0261	Stocksund	0285	Djursholm	Hel	1967-01-01	10	Upphör; till befintlig
0262	Danderyd	0162	Danderyd	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0263	Sollentuna	0163	Sollentuna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0264	Saltsjöbaden	0164	Saltsjöbaden	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0280	Nynäshamn	0192	Nynäshamn	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0281	Södertälje	0281	Södertälje	Hel	1963-01-01	15	Utvidgas
0281	Södertälje	0281	Södertälje	Hel	1967-01-01	15	Utvidgas
0281	Södertälje	0181	Södertälje	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0282	Nacka	0182	Nacka	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0283	Sundbyberg	0183	Sundbyberg	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0284	Solna	0184	Solna	Hel	1968-01-01	23	Kodändrad; annat än 20-22
0285	Djursholm	0285	Djursholm	Hel	1967-01-01	15	Utvidgas
